url,category,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/science/article/habitat-destruction,science,Habitat destruction,Learn how clearing trees and and draining wetlands affects the animals that live in these habitats.,Allyson Shaw,,https://i.natgeofe.com/k/01a6496e-b187-436a-8cd3-c979a41197f3/jaguar-closeup.jpg?w=374&h=210,2344,Endangered Species
https://kids.nationalgeographic.com/science/article/plastic-pollution,science,Plastic Pollution,You can make a difference by reducing your plastic waste.,Catherine Clarke Fox,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",4391,
https://kids.nationalgeographic.com/space/article/what-is-a-planet,space,What is a Planet?,Learn about Earth's neighborhood.,Unknown,,https://i.natgeofe.com/k/d6f301e9-0c90-4379-9a64-1e1e9b048419/planetary-lineup.jpg?w=374&h=210,2450,
https://kids.nationalgeographic.com/space/article/mars-perseverance-rover,space,Welcome to Mars!,,Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",290,Robots
https://kids.nationalgeographic.com/space/article/mission-to-earth,space,Mission to Earth,"Learn about planet earth, including facts, why it's a special spot in the solar system, and more.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2702,
https://kids.nationalgeographic.com/space/article/mission-to-jupiter,space,Mission to Jupiter,"Get the facts on Jupiter, one of the largest planets.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2654,
https://kids.nationalgeographic.com/space/article/mission-to-mars,space,Mission to Mars,"Get the facts on Mars, also known as the red planet.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2770,
https://kids.nationalgeographic.com/space/article/mission-to-mercury,space,Mission to Mercury,"Get the facts on Mercury, the closest planet to the sun.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2495,
https://kids.nationalgeographic.com/space/article/mission-to-neptune,space,Mission to Neptune,"Get the facts on Neptune, the last gas giant in our solar system.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",2596,
https://kids.nationalgeographic.com/space/article/mission-to-saturn,space,Mission to Saturn,"Get the facts on Saturn, the planet famous for its rings.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2723,
https://kids.nationalgeographic.com/space/article/mission-to-uranus,space,Mission to Uranus,"Get the facts on Uranus, a planet with a sideways axis.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2410,
https://kids.nationalgeographic.com/space/article/mission-to-venus,space,Mission to Venus,"Get the facts on Venus, sometimes called Earth's twin.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2412,
https://kids.nationalgeographic.com/weird-but-true/article/space,weird-but-true,Weird But True!: Space,,Unknown,,https://i.natgeofe.com/k/96b613e6-274a-4225-b690-1546d42c4074/WBT1600x90025.png?w=374&h=210,561,
https://kids.nationalgeographic.com/weird-but-true/article/moreonspace,weird-but-true,Weird But True!: More Space,,Unknown,,https://i.natgeofe.com/k/c3307e53-76c6-4ada-83ea-054db17370d8/WBT2_95.png?w=374&h=213,561,Space
https://kids.nationalgeographic.com/nature/article/make-a-telescope,nature,Make a telescope,"Get crafty and build your own telescope to look for birds, treetops, and even stars in the night sky.",MATTHEW RAKOLA,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2355,"Environment, Birds"
https://kids.nationalgeographic.com/space/article/crafts,space,Making the Moon,"Learn how to make a model of a 3D lunar crater, plus find out how to draw the moon.",David Aguilar,,https://i.natgeofe.com/k/7a819ed8-9acd-4a6e-9cef-a80e9aab823c/space-crafts.jpg?w=374&h=251,5735,"Moon, Crafts"
