Article_Index,SARI_Score,NatGeo_to_Wikipedia_SARI,Wikipedia_to_NatGeo_SARI
363,0.0705,0.1364,0.0047
364,0.0444,0.0811,0.0078
365,0.0000,0.0000,0.0000
366,0.0041,0.0075,0.0008
367,0.0000,0.0000,0.0000
368,0.0508,0.0938,0.0079
369,0.0000,0.0000,0.0000
370,0.0000,0.0000,0.0000
371,0.0000,0.0000,0.0000
372,0.0731,0.1131,0.0331
373,0.0000,0.0000,0.0000
374,0.0000,0.0000,0.0000
375,0.0000,0.0000,0.0000
376,0.0000,0.0000,0.0000
377,0.0000,0.0000,0.0000
378,0.0000,0.0000,0.0000
379,0.0000,0.0000,0.0000
380,0.0000,0.0000,0.0000
381,0.0000,0.0000,0.0000
382,0.0000,0.0000,0.0000
383,0.0000,0.0000,0.0000
384,0.0000,0.0000,0.0000
385,0.0103,0.0136,0.0070
386,0.0000,0.0000,0.0000
387,0.0000,0.0000,0.0000
388,0.0000,0.0000,0.0000
389,0.0000,0.0000,0.0000
390,0.0000,0.0000,0.0000
391,0.0073,0.0112,0.0033
392,0.0077,0.0105,0.0049
393,0.0186,0.0225,0.0147
394,0.0090,0.0115,0.0065
395,0.0279,0.0377,0.0180
396,0.0652,0.1204,0.0101
397,0.0177,0.0256,0.0098
398,0.0550,0.0822,0.0278
399,0.0111,0.0091,0.0131
400,0.0140,0.0247,0.0033
401,0.0258,0.0435,0.0082
402,0.0219,0.0275,0.0164
403,0.1055,0.1425,0.0685
404,0.0837,0.1260,0.0415
405,0.1107,0.2088,0.0126
406,0.0895,0.1448,0.0343
407,0.0858,0.1500,0.0215
408,0.0334,0.0449,0.0219
409,0.0511,0.0887,0.0135
410,0.0280,0.0497,0.0062
411,0.0164,0.0287,0.0041
412,0.0290,0.0442,0.0139
413,0.0592,0.0750,0.0434
414,0.0486,0.0915,0.0056
415,0.0458,0.0743,0.0173
416,0.0433,0.0775,0.0091
417,0.0232,0.0380,0.0084
418,0.0459,0.0684,0.0235
419,0.0145,0.0198,0.0091
420,0.0573,0.0938,0.0208
421,0.0512,0.0904,0.0119
422,0.0430,0.0750,0.0109
423,0.0521,0.0863,0.0179
424,0.0321,0.0508,0.0133
425,0.0332,0.0599,0.0065
426,0.0133,0.0211,0.0055
427,0.0481,0.0743,0.0219
428,0.0570,0.0844,0.0296
429,0.0537,0.0880,0.0195
430,0.0121,0.0182,0.0060
431,0.0331,0.0553,0.0110
432,0.0225,0.0312,0.0137
433,0.0064,0.0116,0.0012
434,0.0630,0.0979,0.0281
435,0.0254,0.0374,0.0133
436,0.0295,0.0452,0.0138
437,0.0577,0.0938,0.0217
438,0.0214,0.0305,0.0122
